"state","startdate","enddate","pollster","grade","samplesize","rawpoll_clinton","rawpoll_trump","rawpoll_johnson","poll_id","result","grade_value","actual_clinton","actual_trump","actual_johnson","actual_other","predicted","is_correct","duration","is_national","end_date_to_election","error"
"U.S.","10/25/2016","10/31/2016","USC Dornsife/LA Times","",3145,43.28,46.9,NA,47874,"Trump",NA,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Trump",TRUE,6,TRUE,9,2.41610975671875
"Florida","10/25/2016","10/27/2016","Siena College","A",815,42,46,4,47771,"Trump",11,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Trump",TRUE,2,FALSE,13,3.55246491064532
"California","10/14/2016","10/23/2016","Public Policy Institute of California","A",1024,54,28,5,47545,"Clinton",11,61.6427208083448,32.9898730900327,3.2088991068842,2.15850699473828,"Clinton",TRUE,9,FALSE,17,4.8078982638311
"U.S.","10/29/2016","10/30/2016","Morning Consult","",1772,42,39,7,47786,"Trump",NA,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,1,TRUE,10,5.94121841136307
"North Carolina","10/25/2016","10/26/2016","Marist College","A",780,47,41,8,47775,"Trump",11,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,1,FALSE,14,5.02477093675138
"Florida","10/25/2016","10/26/2016","Marist College","A",779,45,44,5,47776,"Trump",11,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,1,FALSE,14,3.55246491064532
"U.S.","10/20/2016","10/24/2016","GfK Group","B+",1212,51,37,6,47538,"Trump",9,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,16,5.81083153761825
"Florida","10/21/2016","10/24/2016","Selzer & Company","A+",805,43,45,4,47469,"Trump",12,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Trump",TRUE,3,FALSE,16,3.55246491064532
"Pennsylvania","10/26/2016","10/28/2016","YouGov","B",1091,48,40,5,47777,"Trump",8,47.6491459868307,48.7921070761378,2.38945466136537,1.16929227566609,"Clinton",FALSE,2,FALSE,12,3.91783547598058
"Pennsylvania","10/23/2016","10/25/2016","Siena College","A",824,46,39,6,47551,"Trump",11,47.6491459868307,48.7921070761378,2.38945466136537,1.16929227566609,"Clinton",FALSE,2,FALSE,15,5.01726613386773
"U.S.","10/14/2016","10/17/2016","Selzer & Company","A+",1000,47,38,8,47060,"Trump",12,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,3,TRUE,23,4.94121841136307
"U.S.","10/27/2016","10/28/2016","Google Consumer Surveys","B",943,37.1,36.6,5.9,47939,"Trump",8,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,1,TRUE,12,8.00788507802974
"Missouri","10/27/2016","10/28/2016","BK Strategies","",1698,39,53,NA,47860,"Trump",NA,35.6597126507933,59.3112835038455,3.60576014984977,1.42324369551143,"Trump",TRUE,1,FALSE,12,4.82578542652615
"Colorado","10/26/2016","10/28/2016","YouGov","B",997,42,39,7,47780,"Clinton",8,47.2206316044567,44.4165016875749,5.04720714664019,3.31565956132825,"Clinton",TRUE,2,FALSE,12,4.19664204846379
"U.S.","10/22/2016","10/26/2016","YouGov","B",1209,46,41,4,47608,"Trump",8,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,14,2.94121841136307
"Arizona","10/26/2016","10/28/2016","YouGov","B",994,42,44,4,47778,"Trump",8,45.3871175726315,49.5030565102942,3.88552508471454,1.22430083235974,"Trump",TRUE,2,FALSE,12,3.00154966607039
"U.S.","10/25/2016","10/26/2016","Gravis Marketing","B-",1824,46,45,2,47631,"Trump",7,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,1,TRUE,14,1.73359459759527
"North Carolina","10/26/2016","10/28/2016","YouGov","B",992,48,45,3,47779,"Trump",8,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,2,FALSE,12,2.35810427008471
"U.S.","10/27/2016","10/31/2016","Rasmussen Reports/Pulse Opinion Research","C+",1500,44,44,5,47934,"Trump",6,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,9,2.94121841136307
"U.S.","10/24/2016","10/30/2016","SurveyMonkey","C-",40816,47,41,6,47869,"Trump",4,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,6,TRUE,10,3.27455174469641
"Missouri","10/23/2016","10/25/2016","Remington","",2559,39,50,4,47615,"Trump",NA,35.6597126507933,59.3112835038455,3.60576014984977,1.42324369551143,"Trump",TRUE,2,FALSE,15,4.34860356773417
"New Hampshire","10/20/2016","10/24/2016","Marist College","A",768,45,36,10,47539,"Clinton",11,47.6194185051883,47.2522607462307,0,5.12832074858097,"Clinton",TRUE,4,FALSE,16,7.95722641713968
"Pennsylvania","10/30/2016","10/30/2016","Remington","",1249,45,43,3,47850,"Trump",NA,47.6491459868307,48.7921070761378,2.38945466136537,1.16929227566609,"Clinton",FALSE,0,FALSE,10,3.01726613386773
"Ohio","10/30/2016","10/30/2016","Remington","",1187,43,48,3,47849,"Trump",NA,43.5085284753525,52.0521764113272,3.16594355911627,1.27335155420396,"Trump",TRUE,0,FALSE,10,1.57554948193201
"North Carolina","10/30/2016","10/30/2016","Remington","",1176,45,47,2,47848,"Trump",NA,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Trump",TRUE,0,FALSE,10,2
"Wisconsin","10/30/2016","10/30/2016","Remington","",1172,46,42,4,47852,"Trump",NA,46.9401824344058,47.8658366784169,3.61479579708078,1.57918509009651,"Clinton",FALSE,0,FALSE,10,2.39707443858064
"U.S.","10/24/2016","10/30/2016","CVOTER International","C+",1299,48.81,47.71,NA,47882,"Trump",6,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,6,TRUE,10,0.860529446101516
"North Carolina","10/20/2016","10/23/2016","Siena College","A",792,46,39,8,47325,"Trump",11,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,3,FALSE,17,5.82637001074205
"New Mexico","10/24/2016","10/24/2016","Zia Poll","",1899,45,40,9,47612,"Clinton",NA,48.2947853632782,40.0106099987816,9.33844880802502,2.35615582991512,"Clinton",TRUE,0,FALSE,16,1.21461472336163
"Arizona","10/22/2016","10/24/2016","Saguaro Strategies","",2385,48,46,5,47630,"Trump",NA,45.3871175726315,49.5030565102942,3.88552508471454,1.22430083235974,"Clinton",FALSE,2,FALSE,16,2.41013795098272
"Virginia","10/30/2016","10/30/2016","Remington","",1106,47,43,3,47868,"Clinton",NA,45.9096642176103,48.844086543126,3.0738862379495,2.17236300131419,"Clinton",TRUE,0,FALSE,10,2.33610285448842
"Iowa","10/20/2016","10/26/2016","Quinnipiac University","A-",791,44,44,4,47618,"Trump",10,42.1802084413564,51.7812791662346,3.71525977392928,2.32325261847972,"Clinton",FALSE,6,FALSE,14,3.29527031698296
"Virginia","10/28/2016","10/30/2016","Emerson College","B",800,49,45,3,47877,"Clinton",8,45.9096642176103,48.844086543126,3.0738862379495,2.17236300131419,"Clinton",TRUE,2,FALSE,10,2.33610285448842
"Minnesota","10/22/2016","10/26/2016","SurveyUSA","A",656,49,39,5,47712,"Clinton",11,46.8616830864311,45.360347880472,3.87271447988687,3.90525455321005,"Clinton",TRUE,4,FALSE,14,3.208650104718
"U.S.","10/17/2016","10/18/2016","Quinnipiac University","A-",1007,47,40,7,47078,"Trump",10,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,1,TRUE,22,3.94121841136307
"Texas","10/21/2016","10/22/2016","YouGov","B",1031,43,46,5,47237,"Trump",8,43.4921221065053,52.5298775329998,3.17613550827417,0.801864852220728,"Trump",TRUE,1,FALSE,18,2.94862137707698
"U.S.","10/20/2016","10/24/2016","Suffolk University","B+",1000,47.4,37.6,3.9,47530,"Trump",9,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,16,3.71083153761825
"Florida","10/20/2016","10/25/2016","University of North Florida","B+",819,43,39,6,47549,"Trump",9,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,5,FALSE,15,6.21913157731199
"Florida","10/30/2016","10/30/2016","Remington","",989,44,48,2,47846,"Trump",NA,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Trump",TRUE,0,FALSE,10,1.68223648582665
"Maine","10/28/2016","10/30/2016","Emerson College","B",750,46,42,5,47879,"Clinton",8,47.8555727867305,45.1537994740746,5.09257636032634,1.89805137886858,"Clinton",TRUE,2,FALSE,10,1.70064954037714
"Georgia","10/25/2016","10/31/2016","SurveyMonkey","C-",2665,44,46,7,47893,"Trump",4,45.5955036326511,51.3361495189058,3.06834684844316,-8.88178419700125e-16,"Trump",TRUE,6,FALSE,9,3.6211021010379
"Nevada","10/20/2016","10/24/2016","Marist College","A",707,43,43,10,47540,"Clinton",11,48.4521090402887,44.8878016695724,3.36067900150018,3.29941028863871,"Clinton",TRUE,4,FALSE,16,4.65974390278698
"New Hampshire","10/26/2016","10/30/2016","University of New Hampshire","B+",618,46,39,6,47871,"Clinton",9,47.6194185051883,47.2522607462307,0,5.12832074858097,"Clinton",TRUE,4,FALSE,10,5.29055975047301
"Texas","10/27/2016","10/29/2016","Dixie Strategies","C+",980,39.39,51.53,2.96,47993,"Trump",6,43.4921221065053,52.5298775329998,3.17613550827417,0.801864852220728,"Trump",TRUE,2,FALSE,11,1.77271171592642
"Pennsylvania","10/26/2016","10/30/2016","Franklin & Marshall College","B+",652,49,38,4,47876,"Trump",9,47.6491459868307,48.7921070761378,2.38945466136537,1.16929227566609,"Clinton",FALSE,4,FALSE,10,4.58450214264725
"California","10/25/2016","10/31/2016","SurveyMonkey","C-",2505,55,30,7,47887,"Clinton",4,61.6427208083448,32.9898730900327,3.2088991068842,2.15850699473828,"Clinton",TRUE,6,FALSE,9,4.47456493049777
"Florida","10/25/2016","10/26/2016","Gravis Marketing","B-",1301,48,47,1,47767,"Trump",7,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,1,FALSE,14,1.15686828064382
"Colorado","10/30/2016","10/30/2016","Remington","",952,45,44,4,47845,"Clinton",NA,47.2206316044567,44.4165016875749,5.04720714664019,3.31565956132825,"Clinton",TRUE,0,FALSE,10,1.22811347955725
"U.S.","10/20/2016","10/21/2016","Public Policy Polling","B+",990,46,40,5,47527,"Trump",9,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,1,TRUE,19,3.60788507802974
"Florida","10/25/2016","10/31/2016","SurveyMonkey","C-",2809,46,45,5,47892,"Trump",4,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,6,FALSE,9,2.88579824397865
"Georgia","10/17/2016","10/20/2016","Time/Abt SRBI","A-",839,42,44,9,47158,"Trump",10,45.5955036326511,51.3361495189058,3.06834684844316,-8.88178419700125e-16,"Trump",TRUE,3,FALSE,20,5.6211021010379
"Florida","10/21/2016","10/22/2016","YouGov","B",1042,46,43,3,47236,"Trump",8,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,1,FALSE,18,2.88579824397865
"Georgia","10/25/2016","10/27/2016","SurveyUSA","A",683,42,49,3,47785,"Trump",11,45.5955036326511,51.3361495189058,3.06834684844316,-8.88178419700125e-16,"Trump",TRUE,2,FALSE,13,2
"U.S.","10/21/2016","10/24/2016","NBC News/Wall Street Journal","A-",724,43,34,7,47550,"Trump",10,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,3,TRUE,16,7.27455174469641
"North Carolina","10/25/2016","10/26/2016","Gravis Marketing","B-",1273,49,47,1,47766,"Trump",7,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,1,FALSE,14,2.53173425934266
"Virginia","10/20/2016","10/26/2016","Quinnipiac University","A-",749,50,38,4,47620,"Clinton",10,45.9096642176103,48.844086543126,3.0738862379495,2.17236300131419,"Clinton",TRUE,6,FALSE,14,5.28684536252209
"Florida","10/25/2016","10/26/2016","Public Policy Polling","B+",742,48,44,NA,47637,"Trump",9,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,1,FALSE,14,2.63797373957973
"Kentucky","10/26/2016","10/28/2016","Cygnal Political","",811,32,56,NA,47792,"Trump",NA,32.6947933445152,62.5442328109451,2.79455698558658,1.9664168589531,"Trump",TRUE,2,FALSE,12,3.61951307773016
"Georgia","10/20/2016","10/26/2016","Quinnipiac University","A-",707,43,44,8,47617,"Trump",10,45.5955036326511,51.3361495189058,3.06834684844316,-8.88178419700125e-16,"Trump",TRUE,6,FALSE,14,4.95443543437123
"U.S.","10/20/2016","10/23/2016","CNN/Opinion Research Corp.","A-",779,49,44,3,47314,"Trump",10,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,3,TRUE,17,1.93654105718377
"Ohio","10/26/2016","10/27/2016","Emerson College","B",800,45,45,6,47757,"Trump",8,43.5085284753525,52.0521764113272,3.16594355911627,1.27335155420396,"Clinton",FALSE,1,FALSE,13,3.79256812561947
"Vermont","10/24/2016","10/26/2016","Political Marketing International, Inc./Red Racing Horses","B-",1052,52,26,5,47640,"Clinton",7,56.677828384619,30.2674051386222,0,13.0547664767588,"Clinton",TRUE,2,FALSE,14,4.64841117441375
"Idaho","10/21/2016","10/23/2016","Emerson College","B",1023,23,52,NA,47339,"Trump",8,27.5599177606486,59.1656919511504,4.10557440409163,9.16881588410936,"Trump",TRUE,2,FALSE,17,5.86280485589952
"Texas","10/25/2016","10/31/2016","SurveyMonkey","C-",2051,41,47,8,47926,"Trump",4,43.4921221065053,52.5298775329998,3.17613550827417,0.801864852220728,"Trump",TRUE,6,FALSE,9,4.28195471041031
"Pennsylvania","10/25/2016","10/31/2016","SurveyMonkey","C-",2255,49,41,6,47921,"Trump",4,47.6491459868307,48.7921070761378,2.38945466136537,1.16929227566609,"Clinton",FALSE,6,FALSE,9,4.25116880931392
"North Carolina","10/21/2016","10/22/2016","Public Policy Polling","B+",875,47,44,4,47248,"Trump",9,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,1,FALSE,18,2.69143760341804
"North Carolina","10/20/2016","10/26/2016","Quinnipiac University","A-",702,47,43,5,47619,"Trump",10,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,6,FALSE,14,3.35810427008471
"Virginia","10/25/2016","10/31/2016","SurveyMonkey","C-",2089,48,38,8,47929,"Clinton",4,45.9096642176103,48.844086543126,3.0738862379495,2.17236300131419,"Clinton",TRUE,6,FALSE,9,5.95351202918875
"South Carolina","10/25/2016","10/31/2016","SurveyMonkey","C-",1762,43,45,6,47923,"Trump",4,40.7527858747944,54.8640788622769,2.33707405907762,2.04606120385101,"Trump",TRUE,6,FALSE,9,5.25807297613496
"New York","10/25/2016","10/31/2016","SurveyMonkey","C-",1734,56,33,5,47915,"Clinton",4,53.520733300453,42.4515677991259,2.61212931326802,1.41556958715306,"Clinton",TRUE,6,FALSE,9,4.77290172846832
"Ohio","10/25/2016","10/31/2016","SurveyMonkey","C-",1823,40,45,9,47918,"Trump",4,43.5085284753525,52.0521764113272,3.16594355911627,1.27335155420396,"Trump",TRUE,6,FALSE,9,5.46492044252116
"Nevada","10/30/2016","10/30/2016","Remington","",787,44,48,4,47847,"Clinton",NA,48.4521090402887,44.8878016695724,3.36067900150018,3.29941028863871,"Trump",FALSE,0,FALSE,10,2.73454278973869
"Maine","10/20/2016","10/25/2016","University of New Hampshire","B+",670,48,37,5,47772,"Clinton",9,47.8555727867305,45.1537994740746,5.09257636032634,1.89805137886858,"Clinton",TRUE,5,FALSE,15,2.79693434922347
"Michigan","10/25/2016","10/31/2016","SurveyMonkey","C-",1649,43,42,8,47905,"Trump",4,47.3454835003621,47.5839648192559,3.61225188120069,1.45829979918132,"Clinton",FALSE,6,FALSE,9,4.77239881280577
"U.S.","10/21/2016","10/24/2016","Greenberg Quinlan Rosner (Democracy Corps)","B-",900,50,38,5,47355,"Trump",7,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,3,TRUE,16,4.81083153761825
"Virginia","10/23/2016","10/26/2016","Christopher Newport University","B-",814,46,39,5,47634,"Clinton",7,45.9096642176103,48.844086543126,3.0738862379495,2.17236300131419,"Clinton",TRUE,3,FALSE,14,3.95351202918875
"North Carolina","10/25/2016","10/31/2016","SurveyMonkey","C-",1574,47,44,7,47916,"Trump",4,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,6,FALSE,9,3.69143760341804
"Missouri","10/24/2016","10/26/2016","Mason-Dixon Polling & Research, Inc.","B+",625,42,47,3,47629,"Trump",9,35.6597126507933,59.3112835038455,3.60576014984977,1.42324369551143,"Trump",TRUE,2,FALSE,14,6.41911033430069
"Colorado","10/25/2016","10/31/2016","SurveyMonkey","C-",1532,43,39,11,47888,"Clinton",4,47.2206316044567,44.4165016875749,5.04720714664019,3.31565956132825,"Clinton",TRUE,6,FALSE,9,5.19664204846379
"U.S.","10/14/2016","10/16/2016","Monmouth University","A+",726,50,38,5,46886,"Trump",12,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,2,TRUE,24,4.81083153761825
"Missouri","10/28/2016","10/31/2016","Monmouth University","A+",405,38,52,4,47996,"Trump",12,35.6597126507933,59.3112835038455,3.60576014984977,1.42324369551143,"Trump",TRUE,3,FALSE,9,3.34860356773417
"Arizona","10/25/2016","10/31/2016","SurveyMonkey","C-",1457,43,44,8,47885,"Trump",4,45.3871175726315,49.5030565102942,3.88552508471454,1.22430083235974,"Trump",TRUE,6,FALSE,9,4.00154966607039
"North Carolina","10/26/2016","10/27/2016","Emerson College","B",650,48,45,4,47759,"Trump",8,46.702398610986,50.5371564051271,2.76044498388693,6.21724893790088e-15,"Clinton",FALSE,1,FALSE,13,2.69143760341804
"Kansas","10/25/2016","10/31/2016","SurveyMonkey","C-",1273,36,47,12,47899,"Trump",4,36.1583516614755,57.1863316081779,4.67666193316788,1.97865479717873,"Trump",TRUE,6,FALSE,9,5.88934044549517
"Illinois","10/16/2016","10/18/2016","Victory Research","",1200,51.2,36.1,5.6,47315,"Clinton",NA,55.4768865833625,39.3416353694072,3.80096922231803,1.38050882491223,"Clinton",TRUE,2,FALSE,22,3.10585091015057
"U.S.","10/22/2016","10/26/2016","Saint Leo University","C+",1050,46.05,34.95,7.6,47638,"Trump",6,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,14,6.14121841136307
"U.S.","10/11/2016","10/14/2016","SurveyUSA","A",845,46,36,5,47062,"Trump",11,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,3,TRUE,26,4.94121841136307
"Indiana","10/27/2016","10/30/2016","Monmouth University","A+",402,39,50,4,47857,"Trump",12,37.9111684702845,57.1713233033153,4.91750822640023,-2.66453525910038e-15,"Trump",TRUE,3,FALSE,10,3.05922101981034
"Florida","10/22/2016","10/26/2016","Saint Leo University","C+",1028,50.4,36.95,4.95,47639,"Trump",6,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,4,FALSE,14,5.82709670546249
"Wisconsin","10/18/2016","10/19/2016","Public Policy Polling","B+",804,50,38,NA,47087,"Trump",9,46.9401824344058,47.8658366784169,3.61479579708078,1.57918509009651,"Clinton",FALSE,1,FALSE,21,6.46282712200556
"Wisconsin","10/25/2016","10/31/2016","SurveyMonkey","C-",1195,44,42,7,47932,"Trump",4,46.9401824344058,47.8658366784169,3.61479579708078,1.57918509009651,"Clinton",FALSE,6,FALSE,9,4.06374110524731
"Michigan","10/22/2016","10/24/2016","EPIC-MRA","A-",600,41,34,9,47548,"Trump",10,47.3454835003621,47.5839648192559,3.61225188120069,1.45829979918132,"Clinton",FALSE,2,FALSE,16,8.43906547947244
"Florida","10/19/2016","10/19/2016","Associated Industries of Florida","",1000,44,41,4,47462,"Trump",NA,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,0,FALSE,21,4.55246491064532
"Utah","10/25/2016","10/31/2016","SurveyMonkey","C-",1078,30,33,7,47927,"Trump",4,27.7176079770909,46.2765587365115,3.30438777549909,22.7014455108985,"Trump",TRUE,6,FALSE,9,6.41818766130716
"California","10/13/2016","10/15/2016","SurveyUSA","A",725,56,30,4,46947,"Clinton",11,61.6427208083448,32.9898730900327,3.2088991068842,2.15850699473828,"Clinton",TRUE,2,FALSE,25,3.14123159716444
"Nevada","10/20/2016","10/23/2016","Bendixen & Amandi International","",800,48,41,6,47318,"Clinton",NA,48.4521090402887,44.8878016695724,3.36067900150018,3.29941028863871,"Clinton",TRUE,3,FALSE,17,2.32641056945364
"Nevada","10/25/2016","10/25/2016","Gravis Marketing","B-",875,46,46,3,47655,"Clinton",7,48.4521090402887,44.8878016695724,3.36067900150018,3.29941028863871,"Clinton",TRUE,0,FALSE,15,1.30832879073881
"Minnesota","10/20/2016","10/22/2016","Mason-Dixon Polling & Research, Inc.","B+",625,47,39,6,47319,"Clinton",9,46.8616830864311,45.360347880472,3.87271447988687,3.90525455321005,"Clinton",TRUE,2,FALSE,18,2.87531677138467
"U.S.","10/9/2016","10/13/2016","RKM Research and Communications, Inc.","B+",1101,46,41,6,46871,"Trump",9,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,27,3.60788507802974
"U.S.","10/12/2016","10/18/2016","Princeton Survey Research Associates International","B+",1029,49,38,NA,47611,"Trump",9,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,6,TRUE,22,5.81052944610152
"New Mexico","10/25/2016","10/31/2016","SurveyMonkey","C-",987,44,34,17,47914,"Clinton",4,48.2947853632782,40.0106099987816,9.33844880802502,2.35615582991512,"Clinton",TRUE,6,FALSE,9,5.98898218467828
"Iowa","10/25/2016","10/31/2016","SurveyMonkey","C-",984,40,45,10,47898,"Trump",4,42.1802084413564,51.7812791662346,3.71525977392928,2.32325261847972,"Trump",TRUE,6,FALSE,9,5.08207594455391
"Illinois","10/27/2016","10/30/2016","Emerson College","B",500,53,41,2,47878,"Clinton",8,55.4768865833625,39.3416353694072,3.80096922231803,1.38050882491223,"Clinton",TRUE,3,FALSE,10,1.97874014542443
"South Dakota","10/19/2016","10/21/2016","Remington","",1115,37,48,6,47346,"Trump",NA,31.7370496180215,61.5329944574608,5.63306823187325,1.09688769264444,"Trump",TRUE,2,FALSE,19,6.38762553585536
"New Hampshire","10/17/2016","10/21/2016","YouGov","B",772,43,38,8,47326,"Clinton",8,47.6194185051883,47.2522607462307,0,5.12832074858097,"Clinton",TRUE,4,FALSE,19,7.29055975047301
"Texas","10/22/2016","10/24/2016","Crosswind Media & Public Relations","C+",800,38,45,7,47529,"Trump",6,43.4921221065053,52.5298775329998,3.17613550827417,0.801864852220728,"Trump",TRUE,2,FALSE,16,5.61528804374365
"Montana","10/10/2016","10/12/2016","Mason-Dixon Polling & Research, Inc.","B+",1003,36,46,11,46870,"Trump",9,35.9756260964031,56.5068881426648,5.62018020692257,1.89730555400951,"Trump",TRUE,2,FALSE,28,5.3036939464464
"Illinois","10/25/2016","10/31/2016","SurveyMonkey","C-",1003,52,35,8,47896,"Clinton",4,55.4768865833625,39.3416353694072,3.80096922231803,1.38050882491223,"Clinton",TRUE,6,FALSE,9,4.00585091015057
"Washington","10/20/2016","10/22/2016","Elway Research","A+",502,48,31,1,47316,"Clinton",12,55.0233683188114,37.8002882146734,4.76808885982145,2.40825460669369,"Clinton",TRUE,2,FALSE,18,5.8639151311021
"Illinois","10/26/2016","10/27/2016","Loras College","B-",600,45,34,6,48000,"Clinton",7,55.4768865833625,39.3416353694072,3.80096922231803,1.38050882491223,"Clinton",TRUE,1,FALSE,13,6.00585091015057
"Florida","10/25/2016","10/26/2016","Dixie Strategies","C+",698,42.4,45.7,NA,47621,"Trump",6,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Trump",TRUE,1,FALSE,14,4.37602604735398
"Utah","10/20/2016","10/27/2016","Dan Jones & Associates","C+",823,24,32,4,47781,"Trump",6,27.7176079770909,46.2765587365115,3.30438777549909,22.7014455108985,"Trump",TRUE,7,FALSE,13,6.22992631270111
"Nevada","10/25/2016","10/31/2016","SurveyMonkey","C-",1010,43,42,12,47911,"Clinton",4,48.4521090402887,44.8878016695724,3.36067900150018,3.29941028863871,"Clinton",TRUE,6,FALSE,9,5.65974390278698
"Nevada","10/26/2016","10/27/2016","Emerson College","B",550,44,42,3,47760,"Clinton",8,48.4521090402887,44.8878016695724,3.36067900150018,3.29941028863871,"Clinton",TRUE,1,FALSE,13,2.56686323712043
